start_date_local,distance,average_split,average_cadence,name,type,elapsed_time,average_heartrate,time_of_day,average_speed
19/02/2019,6876,02:10.8,20,30r20,Rowing,0:30:00,,,
17/05/2019,6241,02:17.7,20,30r20,Rowing,1:30:00,,,
24/05/2019,6569,02:17.0,20,30r20,Rowing,2:30:00,,,
24/05/2019,6452,02:19.4,20,30r20,Rowing,3:30:00,,,
02/06/2019,6939,02:09.7,20,30r20,Rowing,4:30:00,,,
25/06/2019,6723,02:13.8,19,30r20,Rowing,5:30:00,,,
17/08/2019,6430,02:19.9,19,30r20,Rowing,6:30:00,,,
21/08/2019,6749,02:13.3,20,30r20,Rowing,7:30:00,,,
26/08/2019,6873,02:10.9,19,30r20,Rowing,8:30:00,,,
08/10/2019,6886,02:10.6,20,30r20,Rowing,9:30:00,,,
22/10/2019,6962,02:09.2,20,30r20,Rowing,10:30:00,,,
12/11/2019,6943,02:09.6,20,30r20,Rowing,11:30:00,,,
19/11/2019,7014,02:08.3,20,30r20,Rowing,12:30:00,,,
26/11/2019,6815,02:12.0,20,30r20,Rowing,13:30:00,,,
03/12/2019,7073,02:07.2,20,30r20,Rowing,14:30:00,,,
10/12/2019,7010,02:08.3,20,30r20,Rowing,15:30:00,,,
27/12/2019,7068,02:07.3,20,30r20,Rowing,16:30:00,,,
17/01/2019,6000,02:06.4,22.66666667,3x2k,Rowing,41:17.3,,,
24/01/2019,6000,02:02.8,23,3x2k,Rowing,40:34.1,,,
31/01/2019,6000,02:04.9,22,3x2k,Rowing,40:58.6,,,
07/02/2019,6000,02:01.6,24,3x2k,Rowing,40:19.9,,,
14/02/2019,6000,02:06.5,22.66666667,3x2k,Rowing,41:18.3,,,
21/02/2019,6000,02:04.7,23.66666667,3x2k,Rowing,40:56.7,,,
09/04/2019,6000,02:01.4,23.66666667,3x2k,Rowing,40:17.1,,,
15/08/2019,6000,02:09.6,23.66666667,3x2k,Rowing,41:56.0,,,
19/08/2019,6000,02:07.9,23.66666667,3x2k,Rowing,41:36.1,,,
23/08/2019,6000,02:06.0,23.33333333,3x2k,Rowing,41:12.0,,,
07/01/2020,4714,02:07.2,20,20r20,Rowing,20:00.0,,,
14/01/2020,4671,02:08.4,20,20r20,Rowing,20:00.0,,,
21/01/2020,4754,02:06.2,20,20r20,Rowing,20:00.0,,,
28/01/2020,4809,02:04.7,20,20r20,Rowing,20:00.0,182,,
04/02/2020,4809,02:04.7,20,20r20,Rowing,20:00.0,,,
11/02/2020,4820,02:04.4,20,20r20,Rowing,20:00.0,,,
18/02/2020,4817,02:04.5,20,20r20,Rowing,20:00.0,,,
25/02/2020,4852,02:03.6,20,20r20,Rowing,20:00.0,,,
02/03/2020,4883,02:02.8,20,20r20,Rowing,20:00.0,,,
10/03/2020,4867,02:03.2,20,20r20,Rowing,20:00.0,185,,
17/03/2020,4886,02:02.7,19,20r20,Rowing,20:00.0,,,
